validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,training_relaxation,validation_relaxation,hyperparams,total_time
4787.11962890625,5291.78955078125,28187.6408537342,15151.1836144542,250,3051.62027025223,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4838.29052734375,5309.10888671875,28187.6408537342,14860.4055454251,300,3279.76599597931,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4902.95458984375,5345.64208984375,23036.335987444,14402.5595205864,350,3547.5192425251,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4865.26611328125,5324.74658203125,23036.335987444,14402.5595205864,400,3798.16296243668,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4906.1943359375,5341.64990234375,23036.335987444,14402.6581964744,450,4119.05378127098,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4912.19921875,5340.625,23036.335987444,14425.6928784945,500,4391.60512781143,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4904.32275390625,5331.2109375,24977.1427686408,14425.6928784945,550,4681.64619278908,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4955.2548828125,5373.5654296875,21988.0278478339,14299.1886927127,602,4952.54979801178,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4947.37841796875,5363.3251953125,23036.335987444,14299.1886927127,652,5245.45452690125,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4974.99267578125,5373.10595703125,23036.335987444,14425.6928784945,702,5485.47495603561,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4968.74560546875,5368.14453125,21988.0278478339,14299.1886927127,752,5753.81108999252,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4954.93798828125,5369.9716796875,24226.2988362315,14299.1886927127,802,6047.40448117256,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
5001.6552734375,5395.80029296875,24226.2988362315,14425.6928784945,852,6326.3207681179,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4972.92724609375,5380.9482421875,24226.2988362315,14292.525345955,902,6586.64493203163,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4935.736328125,5358.00146484375,23559.5562356091,14299.1886927127,952,6864.59791707993,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4920.47998046875,5338.73388671875,23109.6080071832,15265.7924720938,1002,7135.67344427109,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4891.876953125,5337.13134765625,24285.3818010807,14240.3980654238,1052,7417.29207205772,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4922.521484375,5342.29248046875,22999.3581343079,14425.6928784945,1102,7706.49447441101,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4967.666015625,5371.9384765625,24285.3818010807,14292.525345955,1154,7985.68040800095,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4966.6103515625,5368.181640625,24285.3818010807,14425.6928784945,1204,8265.12210273743,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4946.74658203125,5357.466796875,24285.3818010807,14425.6928784945,1254,8559.04877185822,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4943.2548828125,5354.78369140625,24362.2072125531,14292.525345955,1304,8811.76841259003,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4900.775390625,5332.95556640625,25500.3630168058,14292.525345955,1354,9065.74731135368,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4928.15966796875,5355.0712890625,23640.984132807,14292.525345955,1404,9328.26694011688,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4952.76416015625,5361.4599609375,24362.2072125531,14292.525345955,1454,9651.6459209919,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4940.05078125,5361.6279296875,23640.9862090964,14292.525345955,1504,9916.90984606743,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4901.65869140625,5347.611328125,22249.5564249994,14240.3980654238,1554,10226.5613808632,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
