subepoch,Runtime,time,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,hyperparams,total_time,validation_relax
101,7.3617188930511475,86.27921438217163,0.0,3970.652350134996,-879203155968.0,0.0,5051.393596306382,-2652235890688.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
151,11.55447006225586,130.15043115615845,0.0,3934.848837916223,-1370159448064.0,0.0,5061.852302071568,-2662795051008.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
201,15.48799443244934,173.46252989768982,0.0,3889.89634058263,-1789716660224.0,0.0,5050.551616143381,-2817676017664.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
251,19.988331079483032,219.02326703071594,0.0,3836.251500348512,-2265854640128.0,0.0,5008.227758374401,-3260959686656.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
301,24.398505687713623,264.15219950675964,0.0,3774.4943707035027,-3015284621312.0,0.0,4906.62178096369,-4320493043712.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
351,28.41873073577881,306.93006205558777,0.0,3698.501455142383,-3794874400768.0,0.0,4700.371145477665,-6341963284480.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
401,32.60646033287048,350.23868799209595,0.0,3688.6675295396335,-3963079884800.0,0.0,4458.097991671746,-8766067048448.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
451,37.29983973503113,395.7274417877197,0.0,3667.7717352850154,-4701996187648.0,0.0,4307.562938703675,-10557463724032.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
501,41.96273922920227,441.7514548301697,0.0,3611.8964459183653,-5453183713280.0,0.0,4318.0088882818345,-10771976159232.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
551,46.35191893577576,486.5997726917267,0.0,3548.1268856535794,-6311402799104.0,0.0,4300.4913168416615,-11323278622720.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
1,0.028550148010253906,2.7736942768096924,0.0,4028.2070333513475,-117710286848.0,0.0,5305.397574237573,-240652926976.0,{'lr': 0.01},508.1778645515442,True
