instance,optimal_value,model
101,11040880.179923963,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
102,6841760.9737169985,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
103,7918277.3730402365,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
104,6552922.343770654,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
105,8352493.227302393,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
106,7245275.913623671,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
107,6462976.718057868,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
108,8267675.175965363,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
109,8324239.3080319585,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
110,6226366.223787305,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
111,4109561.9772441857,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
112,7392285.9007786205,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
113,6621733.5928648785,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
114,7396874.150258451,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
115,7363258.543103256,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
116,8440440.46489712,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
117,8259130.67557425,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
118,7767977.006115969,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
119,8089291.399070921,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
120,6926252.021256562,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
121,8946915.214755926,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
122,6728826.080099258,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
123,8221689.407646124,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
124,6363558.06210464,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
125,7243166.441896814,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
126,7400256.750613218,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
127,7520966.430116864,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
128,8309358.551718635,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
129,6219063.189813953,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
130,7787648.972665855,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
131,6912601.1615450885,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
132,8579862.865350222,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
133,10215584.73516846,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
134,7693708.655229479,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
135,6544523.088453724,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
136,8726639.249562511,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
137,8368289.745375394,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
138,8509240.548636053,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
139,8361466.245720575,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
140,9015087.556345263,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
141,9040820.842992404,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
142,7714866.488781051,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
143,9158014.904003365,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
144,6866777.343709207,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
145,8584244.172663797,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
146,7692438.788302157,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
147,7829178.209918758,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
148,7742605.786381752,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
149,7509508.716057027,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
150,7250213.922540038,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
151,10939627.363183945,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
152,8877933.36009234,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
153,6998895.695574112,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
154,10520802.890091712,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
155,7323107.635633085,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
156,7886492.12391923,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
157,6811352.9326407565,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
158,6689330.222232062,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
159,6140369.37525464,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
