subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
3863,39141.452598103,3725.50174353652,-3363581198336,21012.7149,4692.17772573349,-6783559532544,413.226480007172,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3865,39141.452598103,3725.10531742829,-3365795266560,21012.7149,4691.92839033001,-6786415853568,415.496565580368,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3915,36308.2959254257,3722.65061920699,-3408776790016,21012.7149,4674.00029179183,-6927367536640,419.861188173294,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3965,39222.2410896674,3719.68750268418,-3467440160768,21571.6828,4669.49218943828,-7009496727552,424.230236530304,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4015,40047.6929953281,3716.23865702864,-3496979464192,21012.7149,4673.71090586799,-7038672830464,428.173857927322,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4065,39141.452598103,3711.69048814207,-3526716686336,21012.7149,4674.22505942608,-7050019471360,432.271280765534,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4115,39141.4525981031,3706.77116771088,-3560582807552,20738.1512499999,4670.56263279953,-7085512196096,436.513119697571,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4165,39141.452598103,3701.46882394579,-3595693588480,20734.33955,4661.84263750196,-7134382653440,440.987699747086,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4215,39141.4398096397,3694.53331073493,-3652105797632,20446.6991,4644.1290695911,-7253543354368,445.047533273697,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4265,39141.4398096396,3693.4327916749,-3701098676224,20734.33955,4624.03677019727,-7410141364224,449.152518749237,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4315,39141.452598103,3690.83091217156,-3756566773760,20446.6991,4611.12710914712,-7547408875520,453.270838975906,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4365,39141.452598103,3684.62017183417,-3824606248960,20738.1512499999,4613.70372788607,-7623941292032,457.215145349503,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4415,36308.2959254257,3677.55263402142,-3894326067200,21571.6828,4612.31064682152,-7720982806528,461.323999881744,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4417,36308.2959254258,3677.15944776323,-3896549441536,21571.6828,4612.06532754143,-7723845419008,463.863149642944,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4467,36308.2959254257,3674.77905922611,-3938992128000,21012.7149,4594.42610822117,-7896060919808,468.551215410233,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4517,36308.2959254258,3671.9112675758,-3992537661440,21012.7149,4590.08155330438,-7963911127040,472.787298440933,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
